Year,Decade,Team,TeamFull,PlayerOrder
2017,2010s,Minnesota Timberwolves,Minnesota Timberwolves,John Lucas III|Jordan Hill|Adreian Payne|Cole Aldrich|Lance Stephenson|Tyus Jones|Kris Dunn|Omri Casspi|Nemanja Bjelica|Shabazz Muhammad|Brandon Rush|Gorgui Dieng|Ricky Rubio|Karl-Anthony Towns|Andrew Wiggins|Zach LaVine
2017,2010s,Lakers,Los Angeles Lakers,Metta World Peace|Marcelo Huertas|Thomas Robinson|JosÃ© CalderÃ³n|Corey Brewer|Ivica Zubac|Tarik Black|Tyler Ennis|David Nwaba|Timofey Mozgov|Larry Nance Jr.|Lou Williams|Nick Young|Luol Deng|D'Angelo Russell|Julius Randle|Brandon Ingram|Jordan Clarkson
2017,2010s,Suns,Phoenix Suns,John Jenkins|Ronnie Price|Elijah Millsap|Jarell Eddie|Dragan Bender|Leandro Barbosa|Alan Williams|Derrick Jones Jr.|Tyler Ulis|Alex Len|Brandon Knight|Marquese Chriss|Jared Dudley|Tyson Chandler|P.J. Tucker|T.J. Warren|Eric Bledsoe|Devin Booker
2018,2010s,Warriors,Golden State Warriors,Chris Boucher|Damian Jones|JaVale McGee|David West|Kevon Looney|Omri Casspi|Zaza Pachulia|Jordan Bell|Shaun Livingston|Patrick McCaw|Nick Young|Quinn Cook|Andre Iguodala|Stephen Curry|Draymond Green|Kevin Durant|Klay Thompson
2018,2010s,Raptors,Toronto Raptors,Nigel Hayes-Davis|Bruno Caboclo|Alfonzo McKinnie|Malachi Richardson|Malcolm Miller|Lucas Nogueira|Lorenzo Brown|Norman Powell|Jakob Poeltl|C.J. Miles|Fred VanVleet|OG Anunoby|Pascal Siakam|Delon Wright|Jonas ValanÄiÅ«nas|Serge Ibaka|Kyle Lowry|DeMar DeRozan
2018,2010s,Celtics,Boston Celtics,Jarell Eddie|Xavier Silas|Gordon Hayward|Kadeem Allen|Guerschon Yabusele|Jabari Bird|Jonathan Gibson|Abdel Nader|Shane Larkin|Daniel Theis|Semi Ojeleye|Aron Baynes|Greg Monroe|Terry Rozier|Marcus Morris|Marcus Smart|Jayson Tatum|Jaylen Brown|Al Horford|Kyrie Irving
2018,2010s,76ers,Philadelphia 76ers,Jacob Pullen|Larry Drew II|Demetrius Jackson|Furkan Korkmaz|James Michael McAdoo|Nik Stauskas|James Young|Jahlil Okafor|Justin Anderson|Trevor Booker|Richaun Holmes|TimothÃ© Luwawu-Cabarrot|Amir Johnson|Markelle Fultz|T.J. McConnell|Jerryd Bayless|Ersan Ä°lyasova|Marco Belinelli|Dario Å ariÄ|JJ Redick|Joel Embiid|Robert Covington|Ben Simmons
2018,2010s,Cavs,Cleveland Cavaliers,London Perrantes|Ante Å½iÅ¾iÄ|John Holland|Cedi Osman|Channing Frye|Kendrick Perkins|JosÃ© CalderÃ³n|Derrick Rose|Iman Shumpert|Tristan Thompson|Larry Nance Jr.|Kyle Korver|Jordan Clarkson|Dwyane Wade|Jeff Green|Rodney Hood|Jae Crowder|Isaiah Thomas|George Hill|Kevin Love|J.R. Smith|LeBron James
2018,2010s,Pacers,Indiana Pacers,Trey McKinney-Jones|Edmond Sumner|Ike Anigbogu|Alex Poythress|Ben Moore|Damien Wilkins|T.J. Leaf|Joe Young|Al Jefferson|Glenn Robinson III|Trevor Booker|Lance Stephenson|Domantas Sabonis|Cory Joseph|Myles Turner|Darren Collison|Bojan BogdanoviÄ|Thaddeus Young|Victor Oladipo
2018,2010s,Heat,Miami Heat,Matt Williams|Udonis Haslem|Derrick Walton|Luke Babbitt|Jordan Mickey|Okaro White|Derrick Jones Jr.|Rodney McGruder|Bam Adebayo|Dwyane Wade|Kelly Olynyk|Justise Winslow|Hassan Whiteside|Wayne Ellington|James Johnson|Tyler Johnson|Dion Waiters|Goran DragiÄ|Josh Richardson
2018,2010s,Bucks,Milwaukee Bucks,D.J. Wilson|Xavier Munford|Joel Bolomboy|Marshall Plumlee|Rashad Vaughn|Gary Payton II|Sean Kilpatrick|Shabazz Muhammad|Sterling Brown|Brandon Jennings|DeAndre Liggins|Greg Monroe|Mirza TeletoviÄ|Jason Terry|Thon Maker|Tyler Zeller|Matthew Dellavedova|Jabari Parker|John Henson|Tony Snell|Malcolm Brogdon|Eric Bledsoe|Khris Middleton|Giannis Antetokounmpo
2018,2010s,Wizards,Washington Wizards,Chris McCullough|Jason Smith|Devin Robinson|Tim Frazier|Jodie Meeks|Ian Mahinmi|Ramon Sessions|Mike Scott|TomÃ¡Å¡ SatoranskÃ½|Marcin Gortat|Markieff Morris|Kelly Oubre Jr.|Otto Porter Jr.|John Wall|Bradley Beal
2018,2010s,Pistons,Detroit Pistons,Reggie Hearn|Kay Felder|Willie Reed|Luis Montero|Henry Ellenson|Boban MarjanoviÄ|Eric Moreland|Dwight Buycks|Langston Galloway|Jameer Nelson|Jon Leuer|Luke Kennard|James Ennis III|Anthony Tolliver|Ish Smith|Reggie Jackson|Stanley Johnson|Reggie Bullock|Avery Bradley|Tobias Harris|Blake Griffin|Andre Drummond
2018,2010s,Charlotte Hornets,Charlotte Hornets,Mangok Mathiang|Marcus Paige|Julyan Stone|Johnny O'Bryant|Willy HernangÃ³mez|Dwayne Bacon|Malik Monk|Michael Carter-Williams|Treveon Graham|Cody Zeller|Frank Kaminsky|Jeremy Lamb|Michael Kidd-Gilchrist|Marvin Williams|Dwight Howard|Nicolas Batum|Kemba Walker
2018,2010s,Knicks,New York Knicks,Mindaugas Kuzminskas|Joakim Noah|Willy HernangÃ³mez|Damyean Dotson|Ramon Sessions|Ron Baker|Isaiah Hicks|Luke Kornet|Troy Williams|Kyle O'Quinn|Lance Thomas|Doug McDermott|Trey Burke|Frank Ntilikina|Michael Beasley|Emmanuel Mudiay|Jarrett Jack|Enes Freedom|Courtney Lee|Kristaps PorziÅÄ£is|Tim Hardaway Jr.
2018,2010s,Nets,Brooklyn Nets,Rashad Vaughn|Jacob Wiley|Isaiah Whitehead|Sean Kilpatrick|Timofey Mozgov|James Webb III|Milton Doyle|Jahlil Okafor|Nik Stauskas|Tyler Zeller|Quincy Acy|Jarrett Allen|Dante Cunningham|Trevor Booker|Jeremy Lin|Joe Harris|D'Angelo Russell|Caris LeVert|Rondae Hollis-Jefferson|Spencer Dinwiddie|Allen Crabbe|DeMarre Carroll
2018,2010s,Bulls,Chicago Bulls,Jarell Eddie|Quincy Pondexter|Kay Felder|Ryan Arcidiacono|Paul Zipser|Ãmer AÅÄ±k|Antonio Blakeney|Cristiano FelÃ­cio|Noah Vonleh|Bobby Portis|Jerian Grant|Cameron Payne|David Nwaba|Sean Kilpatrick|Nikola MirotiÄ|Robin Lopez|Denzel Valentine|Zach LaVine|Kris Dunn|Lauri Markkanen|Justin Holiday
2018,2010s,Magic,Orlando Magic,Rashad Vaughn|Adreian Payne|Arron Afflalo|Marreese Speights|Khem Birch|Wes Iwundu|Rodney Purvis|Bismack Biyombo|Jamel Artis|Shelvin Mack|Jonathan Isaac|Mario Hezonja|D.J. Augustin|Terrence Ross|Elfrid Payton|Jonathon Simmons|Nikola VuÄeviÄ|Evan Fournier|Aaron Gordon
2018,2010s,Hawks,Atlanta Hawks,NicolÃ¡s Brussino|Jeremy Evans|Antonius Cleveland|Josh Magette|Tyler Cavanaugh|Andrew White|Luke Babbitt|Jaylen Morris|Miles Plumlee|Isaiah Taylor|Tyler Dorsey|DeAndre' Bembry|Malcolm Delaney|Mike Muscala|Marco Belinelli|John Collins|Dewayne Dedmon|Ersan Ä°lyasova|Damion Lee|Kent Bazemore|Taurean Prince|Dennis SchrÃ¶der
2018,2010s,Rockets,Houston Rockets,Isaiah Canaan|Tim Quarterman|Troy Williams|Demetrius Jackson|Bobby Brown|Zhou Qi|Markel Brown|R.J. Hunter|Briante Weber|Tarik Black|NenÃª|Brandan Wright|Chinanu Onuaku|Joe Johnson|Gerald Green|Luc Mbah a Moute|Ryan Anderson|Clint Capela|P.J. Tucker|Eric Gordon|Chris Paul|Trevor Ariza|Aaron Jackson|James Harden
2018,2010s,Blazers,Portland Trail Blazers,Georgios Papagiannis|Jake Layman|Caleb Swanigan|Meyers Leonard|Wade Baldwin|Noah Vonleh|Zach Collins|Pat Connaughton|Ed Davis|Shabazz Napier|Maurice Harkless|Evan Turner|Jusuf NurkiÄ|Al-Farouq Aminu|CJ McCollum|Damian Lillard
2018,2010s,Thunder,Oklahoma City Thunder,PJ Dozier|Daniel Hamilton|Kyle Singler|Nick Collison|Dakari Johnson|Terrance Ferguson|Josh Huestis|Ãlex Abrines|Patrick Patterson|Raymond Felton|Jerami Grant|Andre Roberson|Corey Brewer|Carmelo Anthony|Steven Adams|Russell Westbrook|Paul George
2018,2010s,Jazz,Utah Jazz,Naz Mitrou-Long|Erik McCree|David Stockton|Tony Bradley|Georges Niang|Nate Wolters|Raul Neto|Ekpe Udoh|Jonas Jerebko|Alec Burks|Royce O'Neale|DantÃ© Exum|Thabo Sefolosha|Joe Johnson|Jae Crowder|Rodney Hood|Derrick Favors|Ricky Rubio|Joe Ingles|Rudy Gobert|Donovan Mitchell
2018,2010s,New Orleans Pelicans,New Orleans Pelicans,Charles Cooke|Josh Smith|Mike James|Jalen Jones|Walt Lemon Jr.|Larry Drew II|Ãmer AÅÄ±k|DeAndre Liggins|Jordan Crawford|Cheick Diallo|Tony Allen|Emeka Okafor|Solomon Hill|Ian Clark|Jameer Nelson|Dante Cunningham|Darius Miller|Rajon Rondo|Nikola MirotiÄ|E'Twaun Moore|Jrue Holiday|DeMarcus Cousins|Anthony Davis
2018,2010s,Spurs,San Antonio Spurs,Darrun Hilliard|Matt Costello|Derrick White|Brandon Paul|Joffrey Lauvergne|DÄvis BertÄns|Bryn Forbes|Tony Parker|Manu GinÃ³bili|Dejounte Murray|Rudy Gay|Kawhi Leonard|Pau Gasol|Danny Green|Patty Mills|Kyle Anderson|LaMarcus Aldridge
2018,2010s,Minnesota Timberwolves,Minnesota Timberwolves,Cole Aldrich|Anthony Brown|Justin Patton|Marcus Georges-Hunt|Aaron Brooks|Shabazz Muhammad|Derrick Rose|Gorgui Dieng|Tyus Jones|Nemanja Bjelica|Jamal Crawford|Jeff Teague|Taj Gibson|Karl-Anthony Towns|Andrew Wiggins|Jimmy Butler
2018,2010s,Nuggets,Denver Nuggets,Tyler Lydon|Darrell Arthur|Richard Jefferson|Monte Morris|Malik Beasley|Juancho HernangÃ³mez|Kenneth Faried|Torrey Craig|Emmanuel Mudiay|Trey Lyles|Mason Plumlee|Devin Harris|Paul Millsap|Jamal Murray|Wilson Chandler|Nikola JokiÄ|Will Barton|Gary Harris
2018,2010s,Los Angeles Clippers,Los Angeles Clippers,Brice Johnson|Boban MarjanoviÄ|Sean Kilpatrick|Willie Reed|Sam Dekker|Sindarius Thornwell|Jawun Evans|Montrezl Harrell|Jamil Wilson|C.J. Williams|Wesley Johnson|MiloÅ¡ TeodosiÄ|Avery Bradley|Tyrone Wallace|Patrick Beverley|DeAndre Jordan|Danilo Gallinari|Lou Williams|Austin Rivers|Tobias Harris|Blake Griffin
2018,2010s,Lakers,Los Angeles Lakers,Derrick Williams|Thomas Bryant|Nigel Hayes-Davis|Vander Blue|Andrew Bogut|Ivica Zubac|Gary Payton II|Tyler Ennis|Corey Brewer|Luol Deng|Travis Wear|Alex Caruso|Channing Frye|Larry Nance Jr.|Josh Hart|Brook Lopez|Jordan Clarkson|Julius Randle|Isaiah Thomas|Kyle Kuzma|Andre Ingram|Kentavious Caldwell-Pope|Brandon Ingram|Lonzo Ball
2018,2010s,Kings,Sacramento Kings,Georgios Papagiannis|Bruno Caboclo|Jack Cooley|Malachi Richardson|JaKarr Sampson|Vince Carter|Frank Mason III|Kosta Koufos|Skal LabissiÃ¨re|Nigel Hayes-Davis|Justin Jackson|Garrett Temple|Buddy Hield|Zach Randolph|George Hill|De'Aaron Fox|Bogdan BogdanoviÄ|Willie Cauley-Stein
2018,2010s,Mavs,Dallas Mavericks,Josh McRoberts|Jeff Withey|Antonius Cleveland|Scotty Hopson|Jameel Warney|Gian Clavell|Salah Mejri|Jalen Jones|Kyle Collinsworth|Nerlens Noel|Johnathan Motley|Maxi Kleber|Devin Harris|Dwight Powell|Dorian Finney-Smith|Doug McDermott|J.J. Barea|Dirk Nowitzki|Aaron Harrison|Yogi Ferrell|Dennis Smith Jr.|Wesley Matthews|Harrison Barnes
2018,2010s,Memphis Grizzlies,Memphis Grizzlies,Vince Hunter|Brice Johnson|Brandan Wright|Ivan Rabb|Deyonta Davis|Omari Johnson|Myke Henry|Chandler Parsons|Ben McLemore|Wayne Selden|Kobi Simmons|Mario Chalmers|Jarell Martin|James Ennis III|Xavier Rathan-Mayes|Andrew Harrison|Briante Weber|Marquis Teague|MarShon Brooks|JaMychal Green|Dillon Brooks|Tyreke Evans|Mike Conley|Marc Gasol
2018,2010s,Suns,Phoenix Suns,Derrick Jones Jr.|Alec Peters|Davon Reed|Alan Williams|Jared Dudley|Shaquille Harrison|Josh Gray|Danuel House Jr.|Alex Len|Troy Daniels|Mike James|Marquese Chriss|Isaiah Canaan|Greg Monroe|Tyler Ulis|Tyson Chandler|Dragan Bender|Josh Jackson|Eric Bledsoe|Elfrid Payton|T.J. Warren|Devin Booker
2019,2010s,Raptors,Toronto Raptors,Jordan Loyd|Malachi Richardson|Chris Boucher|Malcolm Miller|Lorenzo Brown|Eric Moreland|Greg Monroe|Jodie Meeks|Patrick McCaw|C.J. Miles|Delon Wright|Jonas ValanÄiÅ«nas|Norman Powell|Jeremy Lin|OG Anunoby|Marc Gasol|Serge Ibaka|Fred VanVleet|Danny Green|Pascal Siakam|Kawhi Leonard|Kyle Lowry
2019,2010s,Bucks,Milwaukee Bucks,Trevon Duval|Christian Wood|Jason Smith|Jaylen Morris|Isaiah Canaan|Matthew Dellavedova|Pau Gasol|Thon Maker|Bonzie Colson|John Henson|Donte DiVincenzo|Tony Snell|Tim Frazier|Sterling Brown|Ersan Ä°lyasova|D.J. Wilson|George Hill|Pat Connaughton|Nikola MirotiÄ|Malcolm Brogdon|Brook Lopez|Eric Bledsoe|Khris Middleton|Giannis Antetokounmpo
2019,2010s,76ers,Philadelphia 76ers,Demetrius Jackson|Justin Patton|Haywood Highsmith|Amir Johnson|Shake Milton|Boban MarjanoviÄ|Furkan Korkmaz|Jonah Bolden|Jonathon Simmons|James Ennis III|Greg Monroe|Zhaire Smith|T.J. McConnell|Corey Brewer|Landry Shamet|Mike Muscala|Markelle Fultz|Mike Scott|Wilson Chandler|Dario Å ariÄ|JJ Redick|Jimmy Butler|Joel Embiid|Robert Covington|Ben Simmons|Tobias Harris
2019,2010s,Celtics,Boston Celtics,Greg Monroe|Guerschon Yabusele|PJ Dozier|Robert Williams|Brad Wanamaker|Semi Ojeleye|Daniel Theis|Aron Baynes|Terry Rozier|Gordon Hayward|Jaylen Brown|R.J. Hunter|Marcus Smart|Marcus Morris|Al Horford|Jayson Tatum|Kyrie Irving
2019,2010s,Pacers,Indiana Pacers,Ike Anigbogu|Alize Johnson|Davon Reed|Kyle O'Quinn|T.J. Leaf|Edmond Sumner|Aaron Holiday|Doug McDermott|Tyreke Evans|Domantas Sabonis|Cory Joseph|Darren Collison|Myles Turner|Thaddeus Young|Wesley Matthews|Bojan BogdanoviÄ|Victor Oladipo
2019,2010s,Nets,Brooklyn Nets,DÅ¾anan Musa|Alan Williams|Tahjere McCall|Mitch Creek|Kenneth Faried|Theo Pinson|Shabazz Napier|Ed Davis|Treveon Graham|Rodions Kurucs|Jared Dudley|Rondae Hollis-Jefferson|DeMarre Carroll|Jarrett Allen|Allen Crabbe|Caris LeVert|Spencer Dinwiddie|Joe Harris|D'Angelo Russell
2019,2010s,Magic,Orlando Magic,Troy Caupain|Melvin Frazier|Amile Jefferson|Jarell Martin|Khem Birch|Isaiah Briscoe|Jerian Grant|Mo Bamba|Wes Iwundu|Michael Carter-Williams|Jonathon Simmons|Terrence Ross|Jonathan Isaac|D.J. Augustin|Nikola VuÄeviÄ|Evan Fournier|Aaron Gordon
2019,2010s,Pistons,Detroit Pistons,Zach Lofton|Kalin Lucas|Svi Mykhailiuk|Khyri Thomas|Jon Leuer|Henry Ellenson|Zaza Pachulia|JosÃ© CalderÃ³n|Glenn Robinson III|Thon Maker|Bruce Brown|Stanley Johnson|Langston Galloway|Ish Smith|Luke Kennard|Wayne Ellington|Reggie Jackson|Reggie Bullock|Andre Drummond|Blake Griffin
2019,2010s,Charlotte Hornets,Charlotte Hornets,Joe Chealey|J.P. Macura|Shelvin Mack|Willy HernangÃ³mez|Bismack Biyombo|Devonte' Graham|Frank Kaminsky|Malik Monk|Dwayne Bacon|Tony Parker|Michael Kidd-Gilchrist|Miles Bridges|Cody Zeller|Marvin Williams|Jeremy Lamb|Nicolas Batum|Kemba Walker
2019,2010s,Heat,Miami Heat,Emanuel Terry|Ryan Anderson|Yante Maten|Udonis Haslem|Duncan Robinson|Derrick Jones Jr.|James Johnson|Wayne Ellington|Kelly Olynyk|Bam Adebayo|Hassan Whiteside|Rodney McGruder|Tyler Johnson|Dion Waiters|Dwyane Wade|Goran DragiÄ|Justise Winslow|Josh Richardson
2019,2010s,Wizards,Washington Wizards,Okaro White|John Jenkins|Gary Payton II|Jason Smith|Ron Baker|Jordan McRae|Wesley Johnson|Devin Robinson|Troy Brown Jr.|Ian Mahinmi|Chasson Randle|Sam Dekker|Thomas Bryant|Austin Rivers|Dwight Howard|Kelly Oubre Jr.|Markieff Morris|TomÃ¡Å¡ SatoranskÃ½|Jeff Green|Jabari Parker|Bobby Portis|Otto Porter Jr.|Trevor Ariza|John Wall|Bradley Beal
2019,2010s,Hawks,Atlanta Hawks,Jordan Sibert|Tyler Zeller|B.J. Johnson|Tyler Dorsey|Miles Plumlee|Justin Anderson|Daniel Hamilton|Isaac Humphries|Jaylen Adams|Deyonta Davis|Alex Poythress|Vince Carter|Omari Spellman|Jeremy Lin|Alex Len|DeAndre' Bembry|Kent Bazemore|Dewayne Dedmon|Kevin Huerter|Taurean Prince|John Collins|Trae Young
2019,2010s,Bulls,Chicago Bulls,Tyler Ulis|Rawle Alkins|Cristiano FelÃ­cio|Antonio Blakeney|Brandon Sampson|Cameron Payne|TimothÃ© Luwawu-Cabarrot|Shaquille Harrison|Chandler Hutchison|Robin Lopez|Wayne Selden|Bobby Portis|Ryan Arcidiacono|Wendell Carter Jr.|Jabari Parker|Walt Lemon Jr.|Kris Dunn|JaKarr Sampson|Lauri Markkanen|Otto Porter Jr.|Zach LaVine|Justin Holiday
2019,2010s,Cavs,Cleveland Cavaliers,John Holland|Kobi Simmons|Channing Frye|Deng Adel|Jalen Jones|Nik Stauskas|Andrew Harrison|Marquese Chriss|Kyle Korver|Jaron Blossomgame|Patrick McCaw|Ante Å½iÅ¾iÄ|Sam Dekker|David Nwaba|Cameron Payne|Matthew Dellavedova|J.R. Smith|Brandon Knight|George Hill|Larry Nance Jr.|Kevin Love|Jordan Clarkson|Rodney Hood|Tristan Thompson|Alec Burks|Collin Sexton|Cedi Osman
2019,2010s,Knicks,New York Knicks,Ron Baker|Isaiah Hicks|Courtney Lee|Henry Ellenson|John Jenkins|Billy Garrett|Luke Kornet|Lance Thomas|Mitchell Robinson|Mario Hezonja|Trey Burke|Frank Ntilikina|Kadeem Allen|Allonzo Trier|Noah Vonleh|Enes Freedom|DeAndre Jordan|Wesley Matthews|Emmanuel Mudiay|Damyean Dotson|Dennis Smith Jr.|Kevin Knox|Tim Hardaway Jr.
2019,2010s,Warriors,Golden State Warriors,Marcus Derrickson|Jacob Evans|Jordan Bell|Damion Lee|Andrew Bogut|Alfonzo McKinnie|Quinn Cook|Shaun Livingston|Jonas Jerebko|Damian Jones|Kevon Looney|Andre Iguodala|DeMarcus Cousins|Draymond Green|Stephen Curry|Klay Thompson|Kevin Durant
2019,2010s,Nuggets,Denver Nuggets,DeVaughn Akoon-Purcell|Thomas Welsh|Brandon Goodwin|Tyler Lydon|Jarred Vanderbilt|Nick Young|Isaiah Thomas|Trey Lyles|Juancho HernangÃ³mez|Torrey Craig|Mason Plumlee|Malik Beasley|Monte Morris|Paul Millsap|Will Barton|Gary Harris|Nikola JokiÄ|Jamal Murray
2019,2010s,Blazers,Portland Trail Blazers,Wade Baldwin|Skal LabissiÃ¨re|Anfernee Simons|Gary Trent Jr.|Caleb Swanigan|Meyers Leonard|Nik Stauskas|Zach Collins|Jake Layman|Seth Curry|Evan Turner|Enes Freedom|Maurice Harkless|Rodney Hood|Jusuf NurkiÄ|Al-Farouq Aminu|CJ McCollum|Damian Lillard
2019,2010s,Rockets,Houston Rockets,Zhou Qi|Terrence Jones|Chris Chiozza|Marquese Chriss|Isaiah Hartenstein|Vince Edwards|Michael Carter-Williams|Brandon Knight|Gary Clark|NenÃª|James Nunnally|Iman Shumpert|Gerald Green|James Ennis III|Kenneth Faried|Danuel House Jr.|Austin Rivers|Carmelo Anthony|Eric Gordon|Chris Paul|Clint Capela|P.J. Tucker|James Harden
2019,2010s,Jazz,Utah Jazz,Tyler Cavanaugh|Naz Mitrou-Long|Ekpe Udoh|Georges Niang|Grayson Allen|Tony Bradley|Thabo Sefolosha|Raul Neto|DantÃ© Exum|Alec Burks|Kyle Korver|Royce O'Neale|Derrick Favors|Jae Crowder|Ricky Rubio|Joe Ingles|Rudy Gobert|Donovan Mitchell
2019,2010s,Thunder,Oklahoma City Thunder,Donte Grantham|Tyler Davis|Jawun Evans|TimothÃ© Luwawu-Cabarrot|Deonte Burton|Hamidou Diallo|Abdel Nader|Raymond Felton|Patrick Patterson|Nerlens Noel|Markieff Morris|Ãlex Abrines|Terrance Ferguson|Dennis SchrÃ¶der|Jerami Grant|Steven Adams|Russell Westbrook|Paul George
2019,2010s,Spurs,San Antonio Spurs,Donatas MotiejÅ«nas|Drew Eubanks|Chimezie Metu|Quincy Pondexter|Lonnie Walker IV|Pau Gasol|Dante Cunningham|Jakob Poeltl|DÄvis BertÄns|Marco Belinelli|Patty Mills|Derrick White|Rudy Gay|Bryn Forbes|LaMarcus Aldridge|DeMar DeRozan
2019,2010s,Los Angeles Clippers,Los Angeles Clippers,Sindarius Thornwell|Johnathan Motley|Ãngel Delgado|Jerome Robinson|MiloÅ¡ TeodosiÄ|Tyrone Wallace|Boban MarjanoviÄ|Mike Scott|Wilson Chandler|Luc Mbah a Moute|Marcin Gortat|JaMychal Green|Garrett Temple|Ivica Zubac|Montrezl Harrell|Shai Gilgeous-Alexander|Lou Williams|Patrick Beverley|Landry Shamet|Avery Bradley|Danilo Gallinari|Tobias Harris
2019,2010s,Kings,Sacramento Kings,B.J. Johnson|Ben McLemore|Skal LabissiÃ¨re|Alec Burks|Caleb Swanigan|Frank Mason III|Kosta Koufos|Harry Giles|Corey Brewer|Troy Williams|Yogi Ferrell|Justin Jackson|Nemanja Bjelica|Marvin Bagley III|Iman Shumpert|Willie Cauley-Stein|Bogdan BogdanoviÄ|De'Aaron Fox|Buddy Hield|Harrison Barnes
2019,2010s,Lakers,Los Angeles Lakers,Andre Ingram|Scott Machado|Isaac Bonga|Moritz Wagner|Michael Beasley|Svi Mykhailiuk|Johnathan Williams|Ivica Zubac|Mike Muscala|Tyson Chandler|Lance Stephenson|Alex Caruso|JaVale McGee|Jemerrio Jones|Kentavious Caldwell-Pope|Josh Hart|Reggie Bullock|Rajon Rondo|Lonzo Ball|Kyle Kuzma|Brandon Ingram|LeBron James
2019,2010s,Minnesota Timberwolves,Minnesota Timberwolves,James Nunnally|Jared Terrell|C.J. Williams|Mitch Creek|Gorgui Dieng|Cameron Reynolds|Isaiah Canaan|Anthony Tolliver|Keita Bates-Diop|Luol Deng|Jerryd Bayless|Tyus Jones|Josh Okogie|Dario Å ariÄ|Taj Gibson|Derrick Rose|Jeff Teague|Karl-Anthony Towns|Robert Covington|Andrew Wiggins|Jimmy Butler
2019,2010s,Memphis Grizzlies,Memphis Grizzlies,Andrew Harrison|D.J. Stephens|Yuta Watanabe|Dusty Hannahs|MarShon Brooks|Julian Washburn|Wayne Selden|Omri Casspi|Ivan Rabb|Jevon Carter|Joakim Noah|Dillon Brooks|Chandler Parsons|Tyler Zeller|Tyler Dorsey|JaMychal Green|C.J. Miles|Shelvin Mack|Bruno Caboclo|Jaren Jackson Jr.|Jonas ValanÄiÅ«nas|Justin Holiday|Kyle Anderson|Delon Wright|Garrett Temple|Avery Bradley|Mike Conley|Marc Gasol
2019,2010s,New Orleans Pelicans,New Orleans Pelicans,Andrew Harrison|Jason Smith|Stanley Johnson|Dairis BertÄns|Cheick Diallo|Wesley Johnson|Jahlil Okafor|Ian Clark|Frank Jackson|Tim Frazier|Solomon Hill|Kenrich Williams|Christian Wood|Darius Miller|E'Twaun Moore|Nikola MirotiÄ|Elfrid Payton|Julius Randle|Anthony Davis|Jrue Holiday
2019,2010s,Mavs,Dallas Mavericks,Ray Spalding|Kostas Antetokounmpo|Ryan Broekhoff|Salah Mejri|Daryl Macon|Courtney Lee|Dirk Nowitzki|Devin Harris|Trey Burke|Justin Jackson|J.J. Barea|Maxi Kleber|Dwight Powell|Jalen Brunson|Dorian Finney-Smith|Dennis Smith Jr.|Tim Hardaway Jr.|Wesley Matthews|DeAndre Jordan|Luka DonÄiÄ|Harrison Barnes
2019,2010s,Suns,Phoenix Suns,Eric Moreland|George King|Jawun Evans|Emanuel Terry|Jimmer Fredette|Ray Spalding|Quincy Acy|Tyson Chandler|Troy Daniels|Richaun Holmes|Dragan Bender|Elie Okobo|Ryan Anderson|Jamal Crawford|De'Anthony Melton|Josh Jackson|Isaiah Canaan|Kelly Oubre Jr.|Mikal Bridges|Deandre Ayton|Tyler Johnson|T.J. Warren|Trevor Ariza|Devin Booker
2020,2020s,Lakers,Los Angeles Lakers,Zach Norvell|Kostas Antetokounmpo|Jared Dudley|Devontae Cacok|Troy Daniels|Quinn Cook|J.R. Smith|Talen Horton-Tucker|Markieff Morris|JaVale McGee|Alex Caruso|Dwight Howard|Rajon Rondo|Dion Waiters|Avery Bradley|Danny Green|Kyle Kuzma|Kentavious Caldwell-Pope|Anthony Davis|LeBron James
2020,2020s,Bucks,Milwaukee Bucks,Thanasis Antetokounmpo|D.J. Wilson|Dragan Bender|Frank Mason III|Robin Lopez|Sterling Brown|Ersan Ä°lyasova|Kyle Korver|Pat Connaughton|Marvin Williams|George Hill|Donte DiVincenzo|Wesley Matthews|Brook Lopez|Eric Bledsoe|Khris Middleton|Giannis Antetokounmpo
2020,2020s,Raptors,Toronto Raptors,Shamorie Ponds|Dewan Hernandez|Malcolm Miller|Stanley Johnson|Oshae Brissett|Paul Watson|Matt Thomas|Chris Boucher|Terence Davis|Rondae Hollis-Jefferson|Patrick McCaw|Marc Gasol|Serge Ibaka|Norman Powell|OG Anunoby|Pascal Siakam|Fred VanVleet|Kyle Lowry
2020,2020s,Celtics,Boston Celtics,Tacko Fall|Vincent Poirier|Carsen Edwards|Javonte Green|Tremont Waters|Romeo Langford|Robert Williams|Semi Ojeleye|Grant Williams|Enes Freedom|Brad Wanamaker|Daniel Theis|Kemba Walker|Marcus Smart|Gordon Hayward|Jaylen Brown|Jayson Tatum
2020,2020s,Pacers,Indiana Pacers,Brian Bowen|Alize Johnson|T.J. Leaf|Goga Bitadze|Naz Mitrou-Long|JaKarr Sampson|Edmond Sumner|T.J. McConnell|Doug McDermott|Aaron Holiday|Justin Holiday|Victor Oladipo|Jeremy Lamb|Myles Turner|Malcolm Brogdon|T.J. Warren|Domantas Sabonis
